tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
226.00,542440756_0,99.26,6.07,171.00,0.00,559910546#3_0,0.20,0.00,tripinfo_57 emissions_57 fcd_57,55.00,57,0,412.91,0.88,0.00,22.14,DEFAULT_VEHTYPE,,1,6.00,175068.475157,4005.637267,22.319374,72.908467,3.243684,0,55839.436297
227.00,399285452#3_0,41.55,6.65,108.00,0.00,552651836_0,5.10,0.00,tripinfo_36 emissions_36 fcd_36,119.00,36,0,578.52,0.93,0.00,53.06,DEFAULT_VEHTYPE,,1,37.00,290279.067559,10251.614373,53.370395,123.123952,5.628162,0,92588.696700
231.00,48501815#2_0,0.20,12.38,150.00,0.00,-389741416_0,2.47,0.00,tripinfo_50 emissions_50 fcd_50,81.00,50,0,609.09,0.96,0.00,30.73,DEFAULT_VEHTYPE,,2,15.00,249105.976472,6264.250963,34.308464,103.811488,4.656782,0,79454.586882
236.00,40668087#1_0,120.97,9.07,36.00,0.00,893257053_0,5.10,0.00,tripinfo_12 emissions_12 fcd_12,200.00,12,0,1403.31,1.09,0.00,86.04,DEFAULT_VEHTYPE,,3,61.00,541087.385737,16358.309444,86.562586,224.083291,10.157855,0,172586.417116
251.00,410645793_0,19.41,2.47,72.00,0.00,45421575#2_0,5.10,0.00,tripinfo_24 emissions_24 fcd_24,179.00,24,0,1128.55,1.01,0.00,63.63,DEFAULT_VEHTYPE,,1,39.00,448703.916944,13717.690734,72.625058,186.636996,8.368498,0,143119.695128
256.00,42141326#0_0,59.81,8.72,141.00,0.00,-410645794_0,5.10,0.00,tripinfo_47 emissions_47 fcd_47,115.00,47,0,1037.14,1.10,0.00,38.75,DEFAULT_VEHTYPE,,2,10.00,379820.961467,7711.352247,43.706608,156.607433,6.987397,0,121146.274282
260.00,42195044#2_0,71.43,7.75,15.00,0.00,334968130#0_0,0.20,0.00,tripinfo_5 emissions_5 fcd_5,245.00,5,0,1521.94,1.08,0.00,112.92,DEFAULT_VEHTYPE,,2,87.00,668908.863729,21551.719074,113.362273,280.912488,12.961288,0,213356.976374
264.00,334968591#3_0,68.37,7.61,237.00,0.00,334968591#1_0,5.10,0.00,tripinfo_79 emissions_79 fcd_79,27.00,79,0,183.06,0.94,0.00,3.29,DEFAULT_VEHTYPE,,0,0.00,58813.038820,1407.108934,7.742970,23.594269,0.905469,0,18759.096355
268.00,48202929#0_1,93.83,11.16,93.00,0.00,42201277#0_0,5.10,0.00,tripinfo_31 emissions_31 fcd_31,175.00,31,0,1086.52,0.87,0.00,64.52,DEFAULT_VEHTYPE,,2,41.00,446459.770466,13282.997653,70.751843,184.583923,8.050632,0,142403.976644
270.00,42201281#0_0,80.01,7.75,24.00,0.00,334968130#0_0,0.20,0.00,tripinfo_8 emissions_8 fcd_8,246.00,8,0,1566.97,1.05,0.00,104.74,DEFAULT_VEHTYPE,,3,74.00,640356.060421,19795.232138,104.723294,266.861091,12.034662,0,204249.572056
272.00,65107406#1_1,0.20,4.71,198.00,0.00,552651836_0,5.10,0.00,tripinfo_66 emissions_66 fcd_66,74.00,66,0,279.62,0.90,0.00,47.60,DEFAULT_VEHTYPE,,1,38.00,187295.306554,8250.523187,41.932245,81.716697,4.026801,0,59741.154604
274.00,-47861233_1,75.45,5.90,60.00,0.00,48202933_0,5.10,0.00,tripinfo_20 emissions_20 fcd_20,214.00,20,0,1476.69,0.94,0.00,80.87,DEFAULT_VEHTYPE,,4,41.00,550976.852329,15238.026937,82.004045,228.579689,10.148062,0,175740.065438
279.00,48202933_1,70.46,12.74,30.00,0.00,49577049#1_0,5.10,0.00,tripinfo_10 emissions_10 fcd_10,249.00,10,0,991.45,0.94,0.00,159.89,DEFAULT_VEHTYPE,,4,129.00,689987.360961,28325.109923,145.025261,300.714639,14.843814,0,220082.381501
283.00,398532019#0_0,108.76,13.74,69.00,0.00,-48202929#1_0,0.20,0.00,tripinfo_23 emissions_23 fcd_23,214.00,23,0,570.40,1.02,0.00,147.54,DEFAULT_VEHTYPE,,4,121.00,556829.695638,26324.681831,132.877627,245.435365,12.336607,0,177611.410919
291.00,48501815#4_0,207.41,11.35,84.00,0.00,285931678_0,5.10,0.00,tripinfo_28 emissions_28 fcd_28,207.00,28,0,989.31,0.89,0.00,107.59,DEFAULT_VEHTYPE,,2,87.00,517091.891708,19690.591807,101.570870,219.180447,10.192670,0,164934.736728
291.00,389741417#1_1,73.13,15.99,120.00,0.00,42201277#1_0,5.10,0.00,tripinfo_40 emissions_40 fcd_40,171.00,40,0,768.75,1.17,0.00,116.79,DEFAULT_VEHTYPE,,5,76.00,488801.771366,18899.662390,97.437376,211.137684,10.302622,0,155910.588513
291.00,-47861233_0,75.45,13.08,132.00,0.00,-48202923_0,5.10,0.00,tripinfo_44 emissions_44 fcd_44,159.00,44,0,1262.38,0.97,0.00,62.63,DEFAULT_VEHTYPE,,1,35.00,518778.524724,12235.886269,67.572054,214.821436,9.634439,0,165468.668563
305.00,424074247_0,33.09,12.59,42.00,0.00,542434369#2_0,0.20,0.00,tripinfo_14 emissions_14 fcd_14,263.00,14,0,1469.07,1.05,0.00,143.72,DEFAULT_VEHTYPE,,4,95.00,780823.176595,25662.850957,135.024508,334.038769,15.890860,0,249052.888359
306.00,-402762621_0,55.79,2.50,99.00,0.00,334968591#0_0,5.10,0.00,tripinfo_33 emissions_33 fcd_33,207.00,33,0,1534.59,0.95,0.00,44.42,DEFAULT_VEHTYPE,,2,7.00,490957.966461,11180.864875,62.032099,199.096321,8.277794,0,156595.692982
308.00,42141326#11_0,112.14,9.69,111.00,0.00,47861236_0,5.10,0.00,tripinfo_37 emissions_37 fcd_37,197.00,37,0,1444.48,1.18,0.00,52.59,DEFAULT_VEHTYPE,,2,31.00,460321.105982,11496.703471,62.903278,185.471852,7.520923,0,146824.691106
311.00,398532019#2_0,151.13,15.90,63.00,0.00,334968591#0_0,5.10,0.00,tripinfo_21 emissions_21 fcd_21,248.00,21,0,1616.65,1.16,0.00,135.02,DEFAULT_VEHTYPE,,3,104.00,687141.338127,23174.019800,120.960814,287.232050,13.489486,0,219173.022652
318.00,559910546#5_1,0.20,6.18,189.00,0.00,-389741417#1_0,5.10,0.00,tripinfo_63 emissions_63 fcd_63,129.00,63,0,592.48,1.10,0.00,85.84,DEFAULT_VEHTYPE,,2,71.00,389978.719930,15233.224370,78.459229,169.183088,8.383595,0,124389.441552
321.00,45421576#0_0,82.69,10.47,90.00,0.00,940158936#2_0,5.10,0.00,tripinfo_30 emissions_30 fcd_30,231.00,30,0,1001.64,0.83,0.00,132.84,DEFAULT_VEHTYPE,,3,111.00,579751.361191,23659.690099,121.164094,247.807885,11.745817,0,184921.634327
326.00,42195044#3_0,100.03,7.63,129.00,0.00,972644144#1_0,5.10,0.00,tripinfo_43 emissions_43 fcd_43,197.00,43,0,1410.51,1.02,0.00,75.99,DEFAULT_VEHTYPE,,2,47.00,557705.026151,15190.042472,81.816284,230.963949,10.317420,0,177885.898381
329.00,42201278#0_0,84.15,7.56,57.00,0.00,542435213_0,5.10,0.00,tripinfo_19 emissions_19 fcd_19,272.00,19,0,1527.76,0.94,0.00,136.86,DEFAULT_VEHTYPE,,5,96.00,724234.781928,24858.638479,129.815372,306.232323,14.230962,0,231004.616735
330.00,45421576#1_0,82.96,13.17,156.00,0.00,337277984#5_0,5.10,0.00,tripinfo_52 emissions_52 fcd_52,174.00,52,0,939.48,1.04,0.00,91.19,DEFAULT_VEHTYPE,,2,61.00,483455.638204,16315.794891,85.463321,205.893294,9.645045,0,154204.417744
339.00,42201276#1_0,75.86,6.54,180.00,0.00,48909342#3_0,5.10,0.00,tripinfo_60 emissions_60 fcd_60,159.00,60,0,987.38,0.85,0.00,61.75,DEFAULT_VEHTYPE,,2,39.00,384532.946701,11894.252334,63.031421,160.283949,7.143538,0,122651.683790
343.00,303057278_0,7.53,11.98,168.00,0.00,42143918#9_0,5.10,0.00,tripinfo_56 emissions_56 fcd_56,175.00,56,0,1128.65,0.90,0.00,64.10,DEFAULT_VEHTYPE,,2,41.00,445209.229587,12869.918399,68.835865,183.555536,7.972570,0,142004.927344
361.00,65107406#0_1,0.20,3.30,105.00,0.00,311212628#0_0,5.10,0.00,tripinfo_35 emissions_35 fcd_35,256.00,35,0,1233.02,1.13,0.00,153.10,DEFAULT_VEHTYPE,,4,122.00,707499.333040,27038.362291,139.458883,303.940736,14.677472,0,225667.468555
364.00,42141326#4_0,8.27,9.01,318.00,0.00,42143918#10_0,5.10,0.00,tripinfo_106 emissions_106 fcd_106,46.00,106,0,317.97,1.15,0.00,11.57,DEFAULT_VEHTYPE,,1,2.00,119870.400559,2856.528480,15.767710,49.009133,2.023400,0,38233.854169
367.00,893240697_0,19.38,8.37,162.00,0.00,42143918#1_0,5.10,0.00,tripinfo_54 emissions_54 fcd_54,205.00,54,0,1225.02,1.09,0.00,73.55,DEFAULT_VEHTYPE,,2,50.00,467893.711370,14867.104892,78.460280,193.697428,8.371949,0,149241.217943
374.00,940158936#2_1,73.36,7.97,321.00,0.00,893257053_0,5.10,0.00,tripinfo_107 emissions_107 fcd_107,53.00,107,0,462.20,0.98,0.00,9.97,DEFAULT_VEHTYPE,,0,0.00,157005.212030,2841.875558,16.595504,64.418770,2.741857,0,50077.722499
376.00,42195044#8_0,19.65,7.21,144.00,0.00,972644144#1_0,5.10,0.00,tripinfo_48 emissions_48 fcd_48,232.00,48,0,1239.18,0.90,0.00,106.69,DEFAULT_VEHTYPE,,2,82.00,579123.278661,20420.608900,106.341649,244.518401,11.210451,0,184719.806912
379.00,42492699#4_0,53.08,6.68,357.00,0.00,42201281#1_0,5.10,0.00,tripinfo_119 emissions_119 fcd_119,22.00,119,0,138.81,0.91,0.00,3.22,DEFAULT_VEHTYPE,,0,0.00,46121.759481,1173.765516,6.406727,19.110770,0.799053,0,14711.007794
381.00,118664583#0_0,99.28,22.16,207.00,0.00,48909342#3_0,5.10,0.00,tripinfo_69 emissions_69 fcd_69,174.00,69,0,1154.63,1.14,0.00,90.15,DEFAULT_VEHTYPE,,2,60.00,600287.079827,17472.861208,93.442860,255.654011,12.282627,0,191467.297277
382.00,118664583#1_0,197.62,21.85,252.00,0.00,311212628#1_0,5.10,0.00,tripinfo_84 emissions_84 fcd_84,130.00,84,0,551.15,1.02,0.00,93.10,DEFAULT_VEHTYPE,,2,77.00,421715.028110,16692.804115,85.899164,183.644325,9.318256,0,134512.133713
385.00,42143918#11_0,81.88,8.89,114.00,0.00,559910546#4_0,0.20,0.00,tripinfo_38 emissions_38 fcd_38,271.00,38,0,1404.69,1.15,0.00,159.64,DEFAULT_VEHTYPE,,3,120.00,780586.265506,28443.820223,147.551616,335.431920,16.216562,0,248978.740683
386.00,42195044#8_0,19.65,9.73,183.00,0.00,492443599#0_0,5.10,0.00,tripinfo_61 emissions_61 fcd_61,203.00,61,0,1298.63,1.17,0.00,87.83,DEFAULT_VEHTYPE,,3,59.00,548574.975310,16960.280418,89.966490,231.426591,10.665590,0,174974.440195
388.00,-48202921_0,80.56,13.23,195.00,0.00,398532019#0_0,5.10,0.00,tripinfo_65 emissions_65 fcd_65,193.00,65,0,1500.14,1.00,0.00,62.60,DEFAULT_VEHTYPE,,4,30.00,532804.350438,13072.973632,71.586829,219.630931,9.678849,0,169942.838664
390.00,972644144#1_0,71.12,12.99,381.00,0.00,972644144#1_0,5.10,0.00,tripinfo_127 emissions_127 fcd_127,9.00,127,0,66.02,0.95,0.00,3.13,DEFAULT_VEHTYPE,,0,0.00,44912.981052,893.781504,5.088502,18.812759,0.842780,0,14325.235149
392.00,42201276#1_0,75.86,8.04,153.00,0.00,48202925#0_0,3.31,0.00,tripinfo_51 emissions_51 fcd_51,239.00,51,0,1250.43,1.09,0.00,144.30,DEFAULT_VEHTYPE,,5,104.00,684187.644153,24598.691273,127.631644,291.687937,13.924696,0,218231.203678
394.00,42141326#4_0,8.27,9.31,138.00,0.00,492470515#0_0,0.20,0.00,tripinfo_46 emissions_46 fcd_46,256.00,46,0,1429.76,1.18,0.00,138.69,DEFAULT_VEHTYPE,,3,99.00,732504.733496,24434.789263,128.232332,311.453744,14.610697,0,233641.714187
395.00,-48202929#0_0,93.94,12.25,246.00,0.00,542435212_0,5.10,0.00,tripinfo_82 emissions_82 fcd_82,149.00,82,0,599.56,0.91,0.00,95.26,DEFAULT_VEHTYPE,,4,71.00,429090.434854,16835.138649,86.700892,187.480785,9.246406,0,136864.643445
396.00,47861233_0,75.49,13.21,225.00,0.00,972644144#0_0,5.10,0.00,tripinfo_75 emissions_75 fcd_75,171.00,75,0,1472.84,1.02,0.00,60.98,DEFAULT_VEHTYPE,,1,41.00,499901.473002,12040.748469,65.929847,203.323835,8.945643,0,159448.286028
399.00,399285452#3_0,41.55,9.31,222.00,0.00,305214684_0,5.10,0.00,tripinfo_74 emissions_74 fcd_74,177.00,74,0,387.00,1.12,0.00,137.42,DEFAULT_VEHTYPE,,3,120.00,459695.547402,23172.282927,116.263544,204.326452,10.455923,0,146629.239115
401.00,894151134#3_0,56.35,7.37,312.00,0.00,416775490#0_0,0.20,0.00,tripinfo_104 emissions_104 fcd_104,89.00,104,0,598.29,1.02,0.00,36.35,DEFAULT_VEHTYPE,,1,20.00,249929.090997,7048.461802,37.960438,106.290369,4.924651,0,79717.293132
405.00,42141326#7_0,6.07,7.78,159.00,0.00,-48866096_0,5.10,0.00,tripinfo_53 emissions_53 fcd_53,246.00,53,0,1384.64,1.04,0.00,119.02,DEFAULT_VEHTYPE,,4,82.00,662878.678867,22347.157775,117.050353,280.408742,12.978851,0,211434.005068
407.00,542435211_1,0.20,5.25,147.00,0.00,894151134#2_0,5.10,0.00,tripinfo_49 emissions_49 fcd_49,260.00,49,0,701.20,1.03,0.00,186.23,DEFAULT_VEHTYPE,,6,154.00,682169.114333,32197.310714,162.560841,301.428704,15.192826,0,217590.658343
408.00,554582109#2_0,0.20,5.11,123.00,0.00,42201278#1_0,5.10,0.00,tripinfo_41 emissions_41 fcd_41,285.00,41,0,909.93,0.99,0.00,167.22,DEFAULT_VEHTYPE,,6,131.00,655299.835987,30108.378399,152.300388,285.646466,13.890860,0,209020.424393
417.00,45421575#2_1,107.12,12.20,240.00,0.00,-47861233_0,5.10,0.00,tripinfo_80 emissions_80 fcd_80,177.00,80,0,994.27,0.88,0.00,87.41,DEFAULT_VEHTYPE,,3,63.00,483819.770926,16219.387676,84.927962,203.659154,9.393217,0,154320.867335
429.00,48501815#1_0,44.35,13.10,324.00,0.00,42201277#0_0,5.10,0.00,tripinfo_108 emissions_108 fcd_108,105.00,108,0,1021.55,1.00,0.00,17.58,DEFAULT_VEHTYPE,,0,0.00,286681.764506,4303.537359,25.998638,113.527450,4.549018,0,91438.818673
431.00,42201277#4_1,73.87,7.54,256.00,1.00,65107406#1_0,0.20,0.00,tripinfo_85 emissions_85 fcd_85,175.00,85,0,1294.65,1.02,0.00,64.08,DEFAULT_VEHTYPE,,1,38.00,502902.920315,13354.519078,72.225099,208.527098,9.294427,0,160405.957328
431.00,334968591#2_0,7.31,7.19,306.00,0.00,42143918#6_0,5.10,0.00,tripinfo_102 emissions_102 fcd_102,125.00,102,0,931.69,1.00,0.00,12.30,DEFAULT_VEHTYPE,,0,0.00,231944.003750,4863.605651,27.357743,90.131809,3.153073,0,73981.267628
435.00,42201278#1_1,66.83,8.43,336.00,0.00,-410645793_0,5.10,0.00,tripinfo_112 emissions_112 fcd_112,99.00,112,0,565.35,1.02,0.00,20.73,DEFAULT_VEHTYPE,,1,4.00,214192.621097,6025.816074,32.310130,87.926153,3.656371,0,68319.385143
437.00,334968130#1_1,0.20,5.11,423.00,3.00,48501815#0_0,5.10,0.00,tripinfo_140 emissions_140 fcd_140,14.00,140,0,96.95,0.92,0.00,4.98,DEFAULT_VEHTYPE,,0,0.00,46843.576973,1133.555083,6.256464,19.739784,0.878351,0,14941.133822
439.00,402762623#0_0,18.29,1.65,186.00,0.00,-1023791772_0,3.94,0.00,tripinfo_62 emissions_62 fcd_62,253.00,62,0,794.64,1.02,0.00,146.11,DEFAULT_VEHTYPE,,4,114.00,593733.408981,26815.976805,135.878343,260.053603,12.890478,0,189382.034720
443.00,49582170_0,54.01,11.46,192.00,0.00,552651836_0,5.10,0.00,tripinfo_64 emissions_64 fcd_64,251.00,64,0,1523.51,1.00,0.00,118.23,DEFAULT_VEHTYPE,,3,86.00,686154.930359,22140.879534,116.391191,288.860284,13.380716,0,218857.736900
448.00,48202923_1,90.71,13.88,348.00,0.00,42201281#1_0,5.10,0.00,tripinfo_116 emissions_116 fcd_116,100.00,116,0,1067.70,1.09,0.00,16.03,DEFAULT_VEHTYPE,,0,0.00,305919.506119,4504.840651,27.404712,122.137936,5.165663,0,97574.437746
449.00,42201278#2_0,111.04,7.33,234.00,0.00,399285452#3_0,5.10,0.00,tripinfo_78 emissions_78 fcd_78,215.00,78,0,1591.38,0.99,0.00,66.70,DEFAULT_VEHTYPE,,1,44.00,533050.851643,13987.571419,75.874725,218.786408,9.523510,0,170022.241711
451.00,893252088_0,60.86,11.02,342.00,0.00,118664583#0_0,5.10,0.00,tripinfo_114 emissions_114 fcd_114,109.00,114,0,1002.08,0.83,0.00,18.39,DEFAULT_VEHTYPE,,0,0.00,302920.012341,5049.977291,30.056083,123.281426,5.153520,0,96617.989827
453.00,492470515#0_0,0.20,7.71,315.00,0.00,337277984#5_0,5.10,0.00,tripinfo_105 emissions_105 fcd_105,138.00,105,0,582.28,0.97,0.00,64.46,DEFAULT_VEHTYPE,,2,45.00,319517.892939,12421.344875,63.935467,136.057352,6.238891,0,101915.500520
457.00,300069417#0_0,20.85,11.02,303.00,0.00,542434369#3_0,5.10,0.00,tripinfo_101 emissions_101 fcd_101,154.00,101,0,1171.88,1.03,0.00,45.07,DEFAULT_VEHTYPE,,1,25.00,421393.029636,10223.165527,56.044960,172.520628,7.424325,0,134407.338385
458.00,424074247_0,33.09,14.04,417.00,0.00,337277984#6_0,5.10,0.00,tripinfo_139 emissions_139 fcd_139,41.00,139,0,370.74,1.10,0.00,10.94,DEFAULT_VEHTYPE,,0,0.00,150694.200030,2699.873647,15.782167,62.299429,2.715314,0,48064.670349
461.00,48202923_0,90.71,12.28,272.00,2.00,48501815#3_0,0.20,0.00,tripinfo_90 emissions_90 fcd_90,189.00,90,0,879.08,0.96,0.00,117.53,DEFAULT_VEHTYPE,,3,93.00,541637.576988,20732.699203,106.943663,232.957929,11.263948,0,172763.396443
461.00,1023791771#3_0,70.84,7.96,411.00,0.00,1023791771#1_0,5.10,0.00,tripinfo_137 emissions_137 fcd_137,50.00,137,0,102.01,1.10,0.00,38.56,DEFAULT_VEHTYPE,,1,31.00,134001.815531,6665.455888,33.479741,59.486631,3.018691,0,42742.570549
462.00,48202922_0,107.71,14.44,249.00,0.00,334968591#2_0,5.10,0.00,tripinfo_83 emissions_83 fcd_83,213.00,83,0,1394.31,1.04,0.00,104.34,DEFAULT_VEHTYPE,,3,75.00,642863.640720,19616.963371,104.111923,272.147971,12.813597,0,205048.440747
466.00,389741417#1_1,73.13,16.06,423.00,0.00,45421575#2_0,5.10,0.00,tripinfo_141 emissions_141 fcd_141,43.00,141,0,417.94,1.18,0.00,16.35,DEFAULT_VEHTYPE,,1,2.00,194904.904494,3665.141469,21.230275,81.827747,3.808528,0,62165.708007
468.00,48501815#4_0,207.41,14.87,219.00,0.00,42195044#8_0,5.10,0.00,tripinfo_73 emissions_73 fcd_73,249.00,73,0,894.79,1.08,0.00,168.74,DEFAULT_VEHTYPE,,6,127.00,670123.135915,28514.215304,145.296864,290.804784,14.272507,0,213747.167191
469.00,389741417#1_1,73.13,13.74,438.00,0.00,45421575#3_0,0.20,0.00,tripinfo_146 emissions_146 fcd_146,31.00,146,0,311.28,1.07,0.00,9.19,DEFAULT_VEHTYPE,,1,1.00,118693.330718,2012.065947,11.712681,48.031194,2.051277,0,37857.865348
474.00,542440756_0,99.26,8.02,213.00,0.00,337277984#5_0,5.10,0.00,tripinfo_71 emissions_71 fcd_71,261.00,71,0,1179.82,0.97,0.00,154.42,DEFAULT_VEHTYPE,,4,111.00,738962.998238,27313.305509,141.486516,318.351080,15.241661,0,235702.708687
475.00,42201277#0_0,62.32,7.61,210.00,0.00,42143918#3_0,5.10,0.00,tripinfo_70 emissions_70 fcd_70,265.00,70,0,1292.35,1.02,0.00,116.85,DEFAULT_VEHTYPE,,4,85.00,611949.479139,22665.752277,117.306170,257.787626,11.592754,0,195191.105061
493.00,42141326#6_0,109.63,7.71,264.00,0.00,-48202929#0_0,5.10,0.00,tripinfo_88 emissions_88 fcd_88,229.00,88,0,1282.64,1.06,0.00,107.37,DEFAULT_VEHTYPE,,2,84.00,580266.523138,20304.952723,105.823229,245.037949,11.320988,0,185084.280722
493.00,-389741416_0,2.47,13.32,402.00,0.00,47861236_0,5.10,0.00,tripinfo_134 emissions_134 fcd_134,91.00,134,0,810.21,0.96,0.00,14.54,DEFAULT_VEHTYPE,,0,0.00,224847.282841,3962.373171,23.133904,89.714136,3.632458,0,71716.645060
498.00,559910546#4_1,0.20,7.50,300.00,0.00,894151134#1_0,1.43,0.00,tripinfo_100 emissions_100 fcd_100,198.00,100,0,717.44,1.09,0.00,125.05,DEFAULT_VEHTYPE,,4,98.00,517968.147865,22115.136930,112.694461,224.168906,10.834436,0,165214.994300
501.00,48500732_0,15.56,14.16,396.00,0.00,518706138#1_0,5.10,0.00,tripinfo_132 emissions_132 fcd_132,105.00,132,0,914.16,1.03,0.00,13.77,DEFAULT_VEHTYPE,,0,0.00,269847.546863,4681.759660,27.394211,107.731780,4.299018,0,86069.778602
502.00,559910546#0_1,0.20,4.78,243.00,0.00,334968591#0_0,5.10,0.00,tripinfo_81 emissions_81 fcd_81,259.00,81,0,1532.11,0.91,0.00,115.22,DEFAULT_VEHTYPE,,3,85.00,637423.760483,21471.033381,112.445863,267.600053,12.228386,0,203315.143705
